Course_Code,Course_Name,Taught_in_English,Total_Sections,SectionsCB542,Data Mining and Its Applications in Biomedical Domains,False,1,
CS426,Practical TrainingIII,False,3,"A, B, C"
CS427,Practical TrainingIV,False,3,"A, B, C"
CS502,Special Topics on Mobile Multimedia Networking,False,1,A
CS508,Computer Vision Teaching in English,True,1,A
CS509,Digital Learning,False,1,B
CS512,Embedded Real-Time Operating Systems,False,1,B
CS514,Human-Computer Interaction Design 互動多媒體微學程 互動多媒體學程,False,1,B
CS519,Wireless Networking,False,1,A
CS522,Interactive Video Game Development Teaching in English 互動多媒體微學程 互動多媒體學程,True,1,A
CS528,Big Data Analytics 智慧校園與智慧照護學程,False,1,A
CS529,Internet of Things,False,1,B
CS534,Biostatistics Teaching in English,True,1,A1
CS535,Computational Biology,False,1,A
CS536,Medical Informatics and Medical Decision Making,False,1,A
CS537,Bioinformatics,False,1,A
CS538,Data Mining and Its Applications in Biomedical Domains,False,1,A
CS539,Clinical Applications of Medical Signal and Image Teaching in English,True,1,A1
CS554,Seminar,False,2,A
CS555,Operating Systems Teaching in English,True,1,A
CS556,Research Project,False,2,B
CS561,Database Systems,False,1,B
CS564,Cybersecurity Teaching in English,True,1,A1
CS565,Cryptography Teaching in English,True,1,A
CS567,Image Processing 人工智慧「智慧視覺分析」微學程 人工智慧「電腦輔助診斷應用」微學程 人工智慧學程 互動多媒體微學程 互動多媒體學程 數位科技應用學程,False,1,A
CS569,Computer Graphics Teaching in English 互動多媒體微學程 互動多媒體學程,True,1,A
CS578,Computer Networking Teaching in English,True,1,A
CS606,Special Topics on Computer Assisted Instruction,False,1,A
CS624,Computation Theory,False,1,B
CS641,Artificial Intelligence Teaching in English 人工智慧與生物資訊微學程 人工智慧與生物資訊學程,True,1,A
CS646,Generative AI and Applications Teaching in English,True,1,A
CS650,Electronic Design Automation Teaching in English 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,True,1,A
CS657,Machine Learning 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 智慧校園與智慧照護學程,False,1,B
CS660,Deep Learning 人工智慧與金融科技微學程 人工智慧與金融科技學程,False,1,B
CS668,VLSI Testing & Design 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,False,1,A
CS674,Special Topics on Software Engineering,False,1,A
CS675,Special Topics on Intelligent Systems,False,1,A
CS678,Graph Theory Teaching in English,True,1,A
CS679,Special Topics on Distributed Systems,False,1,A
CS683,Special Topics on Electronic Design Automation,False,1,A
DE101,Calculus I Teaching in English,True,1,A
DE102,Calculus II Teaching in English,True,2,A
DE103,Computer Programming Lab.I Teaching in English 智慧製造學程,True,1,A
DE104,Computer Programming Lab.II Teaching in English 智慧製造學程,True,2,A
DE105,Introduction to Chemical Engineering & Materials Science Teaching in English,True,1,A
DE106,Introduction to Industrial Engineering Teaching in English,True,1,A
DE107,General Chemistry Teaching in English,True,1,A1
DE108,General Physics Teaching in English,True,2,A
DE110,Introduction to Mechanical Engineering Teaching in English,True,2,A
DE111,Introduction to Biotechnology and Biomedicine Teaching in English,True,2,A
DE121,Materials Science Teaching in English 全校性跨領域--材料科技學程,True,1,A
DE201,Special Topics in Engineering I Teaching in English,True,1,A
DE204,Experimental Design Teaching in English,True,1,A
DE207,Green Ergonomics & Sustainable Manufacturing Teaching in English,True,1,A
DE211,Engineering Drawing Teaching in English,True,2,A
DE217,Engineering Mathematics II Teaching in English,True,1,A1
DE218,Mechanics of Materials Teaching in English,True,1,A
DE235,Transport Phenomena and Unit Operations I Teaching in English 全校性跨領域--綠色能源學程,True,2,"A, B"
DE236,Physical Chemistry II Teaching in English,True,2,"A, B"
DE253,Linear Algebra Teaching in English,True,2,"A, B"
DE354,Production Planning and Control II Teaching in English,True,2,"A, B"
EE800,Researching Project,False,2,B
EE801,Adaptive Signal Processing,False,1,B
EE803,Signal Detection,False,1,B
EE804,Random Signal Processing,False,1,B
EE806,Deep Learning and its Vision Applications,False,1,B
EE845,Digital Signal Processing,False,1,B
EE849,Image Processing,False,1,B
EE850,Antenna Design and Characteristic Measurement,False,1,B
EE852,Science & Technology Innovation and Foresight Thinking,False,1,B
EE853,Analysis and Best Practice to High-Tech Industry,False,1,B
EE880,Fourier Optics,False,1,B
EE881,Image Inspection and Detection Technique,False,1,B
EEA112,Digital Logic Design 智慧型控制學程 數位科技應用學程 積體電路設計學程,False,2,"A, B"
EEA122,General PhysicsII Teaching in English,True,2,"A, B"
EEA124,General Physics Lab.II,False,2,"A, B"
EEA125,CalculusII,False,2,"A, B"
EEA128,Digital Logic Design Laboratory,False,2,"A, B"
EEA130,Programming Language Lab.II 智慧電網學程 數位科技應用學程,False,2,"A, B"
EEA204,Engineering MathematicsII,False,2,"A, B"
EEA206,ElectronicsII 智慧型控制學程 積體電路設計學程,False,2,"A, B"
EEA227,ElectromagneticsI 全校性跨領域--綠色能源學程 智慧電網學程,False,2,"A, B"
EEA232,Electronic Circuits ExperimentsII,False,2,"A, B"
EEA243,Advance in Electric Circuits 智慧電網學程,False,2,"A, B"
EEA305,Signals and Systems 智慧生醫學程,False,2,"A, B"
EEA478,Electrical Topics,False,1,A
EEA525,Optimal Control,False,1,A
EEA529,Stochastic Control,False,1,A
EEA531,VLSI Signal Processing Teaching in English 積體電路設計學程,True,1,A
EEA564,Communication Electronics Teaching in English 人工智慧「智慧終端晶片設計」微學程 人工智慧學程 積體電路設計學程,True,1,A
EEA588,Digital VLSI Design 人工智慧「智慧終端晶片設計」微學程 人工智慧學程 積體電路設計學程,False,1,A
EEA600,Neural Network Teaching in English 人工智慧「智慧控制與無人載具」微學程 人工智慧「智慧視覺分析」微學程 人工智慧學程 智慧型控制學程,True,1,A
EEA607,Seminar,False,1,A
EEA608,The Advanced VLSI System Design Teaching in English,True,1,A
EEA625,Computer Vision Teaching in English 人工智慧「智慧視覺分析」微學程 人工智慧「電腦輔助診斷應用」微學程 人工智慧學程 智慧生醫學程,True,1,A
EEA647,Transmission Standards of Digital Home Network 物聯網學程 數位科技應用學程,False,1,A
EEA656,Algorithms of Image Processing: Development and Applications Teaching in English,True,1,A
EEA658,Special topics on next generation network and network implementation,False,1,A
EEA665,Advanced Design and Implementation of Integrated Circuits Ⅱ,False,1,A
EEA667,Advanced Design and Implementation of Integrated Circuits Ⅳ,False,1,A
EEA677,Data Science Teaching in English,True,1,A
EEA680,Deep Learning Teaching in English 人工智慧學程 數位科技應用學程,True,1,A
EEA685,Systems Engineering,False,1,A
EEA689,Wireless Power Transfer Technology in 5G and IoT Era Teaching in English,True,1,A
EEA699,Reinforcement Learning Teaching in English 人工智慧學程,True,1,A
EEA704,Power Systems and Green Energy Teaching in English,True,1,A
EEA802,Projects Production,False,1,A
EEB101,CalculusI,False,2,"A, B"
EEB102,CalculusII,False,2,"A, B"
EEB108,Introduction to Computer Science 物聯網學程,False,2,"A, B"
EEB110,Linear Algebra 數位科技應用學程,False,2,"A, B"
EEB111,Digital Logic Design 智慧型控制學程 數位科技應用學程 積體電路設計學程,False,2,"A, B"
EEB113,Data Structures 物聯網學程 智慧生醫學程 數位科技應用學程,False,1,A
EEB116,General Physics,False,2,"A, B"
EEB118,Logic Circuit Lab. Teaching in English,True,2,"A, B"
EEB124,General Physics Lab.,False,2,"A, B"
EEB126,Programming Language Labs I 人工智慧學程,False,2,"A, B"
EEB127,Programming Language Labs II,False,2,"A, B"
EEB131,Introduction to Artificial Intelligence and Information Technology Teaching in English,True,1,A
EEB202,ElectronicsII 智慧型控制學程 積體電路設計學程,False,2,"A, B"
EEB204,Engineering MathematicsII,False,1,A
EEB206,Electronic Circuits ExperimentsII,False,2,"A, B"
EEB209,Micro-Computer Systems 物聯網學程 智慧型控制學程 數位科技應用學程,False,1,A
EEB210,ElectromagneticsI 全校性跨領域--綠色能源學程 智慧電網學程,False,1,A
EEB211,Signals and Systems 智慧生醫學程,False,2,"A, B"
EEB215,Introduction to Computer Vision and Image Processing,False,1,A
EEB216,Game Programming,False,1,A
EEB221,Electrical Topics,False,1,A
EEB222,Introduction to Cloud Computing Teaching in English,True,1,A
EEB312,Communications Network 物聯網學程,False,2,"A, B"
EEB501,Research Project,False,2,A
EEB502,Seminar,False,2,A
EEB504,Microwave Engineering,False,1,A
EEB505,High Frequency Circuit Design,False,1,A
EEB507,Antenna Theory,False,1,A
EEB512,Coding Theory,False,1,A
EEB515,Advanced High-Frequency Circuit Design,False,1,A
EEB523,Software Defined Radio With Lab.,False,1,A
EEB524,Micro-wave Measurements and Experiments,False,1,A
EEB532,Pattern Recognition Teaching in English,True,1,A
EEB555,Electromagnetics for high speed digital system design Teaching in English,True,1,A
EEB560,Advanced to Electromagnetic Compatibility,False,1,A
EEB561,Antenna Design and Characteristic Measurement,False,1,A
EEB564,Introduction to RF System Design for Mobile Communications Systems,False,1,A
EEB567,Network Programming and Applications 物聯網學程,False,1,A
EEB569,Machine Learning Teaching in English 人工智慧「智慧控制與無人載具」微學程 人工智慧「智慧視覺分析」微學程 人工智慧「電腦輔助診斷應用」微學程 物聯網學程,True,1,A
EEB570,Programming with Mobile Applications 物聯網學程,False,1,A
EEB580,Software Defined Networking: Innovative Applications and Practice,False,1,A
EEB582,Database Systems,False,1,A
EEB584,"Internet of Things: Introduction, Technologies, and Applications Teaching in English 物聯網學程",True,1,A
EEB585,Neural Networks and Deep Learning Teaching in English,True,1,A
EEB589,5G Network Function Virtualization: Introduction and Applications,False,1,A
EEB592,Science & Technology Innovation and Foresight Thinking,False,1,A
EEB593,Robotics Teaching in English,True,1,A
EEB601,Field Study,False,2,A
EEB602,Low Orbit Satellite Communications: an Introduction to Ground Station System Engineering,False,1,A
EEB608,Orthogonal Frequency Division Multiplexing and Orthogonal Time Frequency Space Modulation,False,1,A
EEC101,General PhysicsI Teaching in English,True,1,A
EEC102,General PhysicsII Teaching in English,True,1,A
EEC103,General Physics Lab.I,False,1,A
EEC105,CalculusI Teaching in English,True,1,A
EEC106,CalculusII Teaching in English,True,1,A
EEC107,Introduction to Computer Science 物聯網學程,False,1,A
EEC110,Linear Algebra 數位科技應用學程,False,1,A
EEC113,Programming Language Lab I,False,1,A
EEC114,Programming Language Lab II,False,1,A
EEC115,Introduction of Electronic Engineering,False,1,A
EEC116,Introduction to Semiconductor Industry,False,1,A
EEC117,Quantum Computers and Quantum,False,1,A
EEC201,Circuit Theory 智慧型控制學程 智慧電網學程,False,1,A
EEC202,Engineering MathematicsI,False,1,A
EEC203,Engineering MathematicsII,False,1,A
EEC204,ElectronicsI 全校性跨領域--材料科技學程 全校性跨領域--綠色能源學程 智慧型控制學程 智慧電網學程 積體電路設計學程,False,1,A
EEC205,ElectronicsII 智慧型控制學程 積體電路設計學程,False,1,A
EEC206,Electronic Circuits Lab.I,False,1,A
